instant;dteday;season;yr;mnth;holiday;weekday;workingday;weathersit;temp;atemp;hum;windspeed;leaflets;price reduction;casual;registered;cnt
123;03.05.2011;2.0;0;5;0;2;1;2;24.6667;0.582079;104.56245;0.342667;666;0;603;3848;4451
124;04.05.2011;;0;5;0;3;1;2;16.5667;0.40465;110.56245;0.328996;569;0;255;2378;2633
125;05.05.2011;;0;5;0;4;1;1;18.3667;0.441917;66.62505;0.295392;789;0;614;3819;4433
126;06.05.2011;2.0;0;5;0;5;1;1;19.1667;0.474117;;0.228246;695;0;894;3714;4608
127;07.05.2011;2.0;0;5;0;6;0;1;20.8;0.512621;81.1875;0.16045;1014;0;1612;3102;4714
128;08.05.2011;2.0;0;5;0;0;0;1;21.1333;0.518933;94.75005;0.0746375;991;0;1401;2932;4333
129;09.05.2011;2.0;0;5;0;1;1;1;21.3;0.525246;88.3125;0.176;838;0;664;3698;4362
130;10.05.2011;2.0;0;5;0;2;1;1;21.3;0.522721;73.37505;0.115671;473;0;694;4109;4803
131;11.05.2011;2.0;0;5;0;3;1;1;21.7;0.5284;94.93755;0.120642;549;0;550;3632;4182
132;12.05.2011;2.0;0;5;0;4;1;1;21.4;0.523363;;0.189667;983;0;695;4169;4864
134;14.05.2011;2.0;0;5;0;6;0;2;20.8333;0.500629;138.375;0.13495;928;0;902;2507;3409
135;15.05.2011;2.0;0;5;0;0;0;2;22.5;0.536;130.06245;0.152979;1024;0;1582;2971;4553
136;16.05.2011;2.0;0;5;0;1;1;1;23.1;0.550512;118.18755;0.126871;470;0;773;3185;3958
137;17.05.2011;2.0;0;5;0;2;1;2;22.4667;0.538529;125.68755;0.277354;537;0;678;3445;4123
138;18.05.2011;2.0;0;5;0;3;1;2;22.0;0.527158;;0.201492;832;0;536;3319;3855
139;19.05.2011;2.0;0;5;0;4;1;2;21.2333;0.510742;124.43745;0.108213;878;0;735;3840;4575
140;20.05.2011;2.0;0;5;0;5;1;1;21.4667;0.529042;107.93745;0.125013;528;0;909;4008;4917
142;22.05.2011;;0;5;0;0;0;1;24.1667;0.5745;112.43745;0.148008;703;0;1576;3084;4660
143;23.05.2011;;0;5;0;1;1;2;25.2667;0.590296;121.5;0.233842;545;0;836;3438;4274
144;24.05.2011;2.0;0;5;0;2;1;2;26.4;0.604813;111.12495;0.207092;829;0;659;3833;4492
145;25.05.2011;2.0;0;5;0;3;1;1;26.4333;0.615542;104.4375;0.1542329999999999;702;0;740;4238;4978
146;26.05.2011;2.0;0;5;0;4;1;1;28.3333;0.654688;101.625;0.199642;720;0;758;3919;4677
147;27.05.2011;2.0;0;5;0;5;1;1;27.2667;0.637008;98.0625;0.240679;789;0;871;3808;4679
148;28.05.2011;2.0;0;5;0;6;0;1;26.2333;0.612379;109.43745;0.230092;712;0;2001;2757;4758
149;29.05.2011;2.0;0;5;0;0;0;1;26.7;0.61555;;0.213938;667;1;2355;2433;4788
150;30.05.2011;2.0;0;5;1;1;0;1;29.3333;0.671092;102.75;0.131225;483;0;1549;2549;4098
151;31.05.2011;2.0;0;5;0;2;1;1;31.0;0.725383;95.50005;0.111329;843;0;673;3309;3982
152;01.06.2011;2.0;0;6;0;3;1;2;30.5667;0.720967;101.56245;0.207092;694;0;513;3461;3974
153;02.06.2011;2.0;0;6;0;4;1;1;28.6;0.643942;45.75;0.2922869999999999;740;1;736;4232;4968
154;03.06.2011;2.0;0;6;0;5;1;1;24.8;0.587133;53.12505;0.253121;991;0;898;4414;5312
155;04.06.2011;2.0;0;6;0;6;0;1;25.4;0.594696;68.4375;-1.0;624;0;1869;3473;5342
156;05.06.2011;2.0;0;6;0;0;0;2;25.9333;0.616804;97.875;0.138692;495;0;1685;3221;4906
157;06.06.2011;2.0;0;6;0;1;1;1;27.1333;0.621858;90.0;0.121896;912;0;673;3875;4548
158;07.06.2011;2.0;0;6;0;2;1;1;28.3;0.65595;89.68755;0.187808;464;1;763;4070;4833
160;09.06.2011;2.0;0;6;0;4;1;2;32.3333;0.757579;85.24995;0.149883;906;0;563;3352;3915
161;10.06.2011;2.0;0;6;0;5;1;1;30.2;0.703292;90.75;0.1405539999999999;840;0;815;3771;4586
162;11.06.2011;2.0;0;6;0;6;0;1;29.0;0.678038;98.18745;0.15485;841;0;1729;3237;4966
163;12.06.2011;2.0;0;6;0;0;0;1;27.7;0.643325;112.18755;0.163567;495;0;1467;2993;4460
164;13.06.2011;2.0;0;6;0;1;1;1;25.4;0.601654;74.18745;0.30535;706;0;863;4157;5020
165;14.06.2011;2.0;0;6;0;2;1;1;24.1667;0.591546;76.06245;0.269283;858;0;727;4164;4891
166;15.06.2011;;0;6;0;3;1;1;25.0667;0.587754;70.75005;0.1679119999999999;749;0;769;4411;5180
167;16.06.2011;2.0;0;6;0;4;1;2;25.1333;0.595346;103.24995;0.206471;462;0;545;3222;3767
168;17.06.2011;2.0;0;6;0;5;1;1;25.9667;0.600383;110.37495;0.143029;659;1;863;3981;4844
169;18.06.2011;2.0;0;6;0;6;0;1;27.8667;0.643954;100.56255;0.1194079999999999;617;0;1807;3312;5119
170;19.06.2011;2.0;0;6;0;-1;0;2;27.9667;0.645846;100.00005;0.102;1019;0;1639;3105;4744
171;20.06.2011;2.0;0;6;0;1;1;2;25.4;0.595346;111.9375;0.155475;1018;0;699;3311;4010
172;21.06.2011;3.0;0;6;0;2;1;2;27.2333;0.637646;115.56255;0.171025;474;0;774;4061;4835
174;23.06.2011;3.0;0;6;0;4;1;2;29.1333;0.693833;105.49995;0.238804;925;0;746;4044;4790
175;24.06.2011;3.0;0;6;0;5;1;1;28.9667;0.656583;85.99995;0.222025;779;0;969;4022;4991
176;25.06.2011;;0;6;0;6;0;1;27.8;0.643313;72.49995;0.209571;465;0;1782;3420;5202
177;26.06.2011;3.0;0;6;0;0;0;1;27.2;0.637629;76.99995;0.0945333;976;0;1920;3385;5305
178;27.06.2011;3.0;0;6;0;1;1;2;27.3;0.637004;98.74995;0.107588;819;0;854;3854;4708
179;28.06.2011;3.0;0;6;0;2;1;1;29.7667;0.692558;95.12505;0.144283;997;0;732;3916;4648
182;01.07.2011;3.0;0;7;0;5;1;1;28.9;0.652162;59.4375;0.1026079999999999;795;0;1246;4116;5362
184;03.07.2011;;0;7;0;0;0;2;28.6667;0.668575;102.375;0.228858;722;0;2282;2367;4649
185;04.07.2011;3.0;0;7;1;1;0;2;29.0667;0.665417;95.68755;0.0814791999999999;749;0;3065;2978;6043
186;05.07.2011;3.0;0;7;0;2;1;1;29.8667;0.696338;88.56255;0.1262579999999999;874;0;1031;3634;4665
187;06.07.2011;3.0;0;7;0;3;1;1;28.8;0.685633;111.49995;0.149883;780;0;784;3845;4629
188;07.07.2011;3.0;0;7;0;4;1;1;30.0;0.686871;;0.1592;723;0;754;3838;4592
189;08.07.2011;3.0;0;7;0;5;1;2;28.3667;0.6704829999999999;113.68755;0.225129;1015;0;692;3348;4040
190;09.07.2011;3.0;0;7;0;6;0;1;29.3333;0.664158;91.37505;0.1679119999999999;755;0;1988;3348;5336
191;10.07.2011;3.0;0;7;0;0;0;1;29.9;0.690025;86.74995;0.183471;492;0;1743;3138;4881
192;11.07.2011;3.0;0;7;0;1;1;1;30.5;0.729804;95.37495;0.282337;730;0;723;3363;4086
193;12.07.2011;3.0;0;7;0;2;1;1;31.7667;0.739275;83.87505;0.200254;670;0;662;3596;4258
195;14.07.2011;3.0;0;7;0;4;1;1;27.2333;0.635104;71.4375;0.240667;711;1;888;4196;5084
197;16.07.2011;3.0;0;7;0;6;0;1;27.4667;0.638263;87.75;-1.0;731;0;2418;3505;5923
199;18.07.2011;3.0;0;7;0;1;1;1;29.8667;0.703925;97.6875;0.215804;840;0;841;3617;4458
202;21.07.2011;3.0;0;7;0;4;1;2;32.6;0.826371;103.6875;0.222021;788;0;632;3152;3784
204;23.07.2011;3.0;0;7;0;6;0;1;33.9667;0.804287;75.0;0.131221;944;0;987;2298;3285
205;24.07.2011;3.0;0;7;0;0;0;1;33.2;0.794829;82.62495;0.169171;561;0;1050;2556;3606
206;25.07.2011;3.0;0;7;0;1;1;1;29.7333;0.720958;113.56245;0.0908083;474;0;568;3272;3840
207;26.07.2011;3.0;0;7;0;2;1;1;30.8667;0.696979;81.12495;0.200258;692;0;750;3840;4590
208;27.07.2011;;0;7;0;3;1;1;31.0;0.690667;60.43755;0.183463;654;0;755;3901;4656
211;30.07.2011;3.0;0;7;0;6;0;1;32.1667;0.728537;69.87495;0.168537;637;0;1559;2916;4475
212;31.07.2011;3.0;0;7;0;0;0;1;32.2333;0.729796;72.12495;0.164813;724;0;1524;2778;4302
213;01.08.2011;3.0;0;8;0;1;1;1;30.8667;0.703292;;0.156717;533;0;729;3537;4266
214;02.08.2011;3.0;0;8;0;2;1;1;31.3333;0.707071;73.6875;0.20585;617;0;801;4044;4845
215;03.08.2011;3.0;0;8;0;3;1;2;29.2667;0.679937;98.625;0.1355829999999999;934;0;467;3107;3574
216;04.08.2011;3.0;0;8;0;4;1;2;28.4;0.664788;113.625;0.19715;939;1;799;3777;4576
217;05.08.2011;3.0;0;8;0;5;1;1;28.4333;0.656567;94.62495;0.184696;747;0;1023;3843;4866
218;06.08.2011;3.0;0;8;0;6;0;2;28.6667;0.676154;;0.22825;711;0;1521;2773;4294
219;07.08.2011;3.0;0;8;0;0;0;1;29.7;0.715292;112.93755;0.201487;769;0;1298;2487;3785
221;09.08.2011;3.0;0;8;0;2;1;1;31.0;0.724121;85.56255;0.151121;464;0;907;3695;4602
222;10.08.2011;3.0;0;8;0;3;1;1;30.6667;0.684983;63.62505;0.200258;709;0;884;3896;4780
223;11.08.2011;3.0;0;8;0;4;1;1;28.7;0.651521;63.5625;0.164796;980;0;812;3980;4792
224;12.08.2011;;0;8;0;5;1;1;28.3333;0.654042;62.25;-1.0;835;0;1051;3854;4905
225;13.08.2011;3.0;0;8;0;6;0;2;27.4333;0.645858;109.43745;0.211454;935;0;1504;2646;4150
226;14.08.2011;3.0;0;8;0;0;0;2;27.0667;0.624388;122.625;0.222633;959;0;1338;2482;3820
227;15.08.2011;3.0;0;8;0;1;1;1;26.6333;0.616167;106.81245;0.208954;815;0;775;3563;4338
228;16.08.2011;3.0;0;8;0;2;1;1;28.0333;0.645837;86.74995;0.2363289999999999;1019;0;721;4004;4725
229;17.08.2011;3.0;0;8;0;3;1;1;28.9333;0.666671;86.31255;0.143667;905;0;668;4026;4694
230;18.08.2011;3.0;0;8;0;4;1;1;28.4667;0.662258;98.18745;0.233208;846;0;639;3166;3805
231;19.08.2011;3.0;0;8;0;5;1;2;27.4;0.633221;108.43755;0.139308;687;0;797;3356;4153
232;20.08.2011;;0;8;0;6;0;1;27.9;0.648996;101.12505;0.104467;675;0;1914;3277;5191
234;22.08.2011;3.0;0;8;0;1;1;1;27.6667;0.638254;70.5;0.27675;990;0;833;3925;4758
235;23.08.2011;;0;8;0;2;1;1;25.6333;0.606067;68.31255;0.146763;982;0;1281;4614;5895
236;24.08.2011;3.0;0;8;0;3;1;1;26.9333;0.630692;90.75;-1.0;935;0;949;4181;5130
237;25.08.2011;3.0;0;8;0;4;1;2;27.3667;0.645854;115.75005;0.210833;786;0;435;3107;3542
238;26.08.2011;3.0;0;8;0;5;1;1;28.0;0.659733;114.1875;0.0839625;875;0;768;3893;4661
240;28.08.2011;3.0;0;8;0;0;0;1;28.2824;0.6479590000000001;84.26475;0.304659;615;0;1415;2919;4334
241;29.08.2011;3.0;0;8;0;1;1;1;25.4667;0.607958;83.18745;0.159825;587;0;729;3905;4634
242;30.08.2011;3.0;0;8;0;2;1;1;25.5667;0.594704;82.24995;0.1250079999999999;576;1;775;4429;5204
243;31.08.2011;;0;8;0;3;1;1;26.2667;0.611121;89.68755;0.0833333;628;0;688;4370;5058
245;02.09.2011;3.0;0;9;0;5;1;2;25.7333;0.604808;;0.139929;908;0;875;3852;4727
247;04.09.2011;3.0;0;9;0;0;0;1;28.3667;0.665429;111.31245;0.206467;606;0;2521;2419;4940
248;05.09.2011;3.0;0;9;1;1;0;2;26.9333;0.625646;118.56255;0.212696;887;1;1236;2115;3351
249;06.09.2011;3.0;0;9;0;2;1;3;21.6;0.5152;133.04355;0.343943;763;0;204;2506;2710
250;07.09.2011;3.0;0;9;0;3;1;3;23.9667;0.544229;137.56245;0.0970208;892;0;118;1878;1996
251;08.09.2011;3.0;0;9;0;-1;1;3;25.3565;0.555361;140.93475;0.192748;684;1;153;1689;1842
252;09.09.2011;3.0;0;9;0;5;1;2;26.0;0.578946;134.68755;0.1243789999999999;1002;0;417;3127;3544
253;10.09.2011;3.0;0;9;0;6;0;1;26.4;0.607962;113.0625;0.153608;560;0;1750;3595;5345
254;11.09.2011;3.0;0;9;0;0;0;1;26.1333;0.609229;107.0625;0.1150539999999999;1005;0;1633;3413;5046
255;12.09.2011;3.0;0;9;0;1;1;1;25.7739;0.60213;103.8261;0.088913;532;0;690;4023;4713
256;13.09.2011;3.0;0;9;0;2;1;1;26.0333;0.603554;106.875;0.1418039999999999;652;1;701;4062;4763
257;14.09.2011;3.0;0;9;0;3;1;1;26.9333;0.6269;104.56245;0.1673;761;0;647;4138;4785
258;15.09.2011;;0;9;0;4;1;2;23.1;0.553671;106.37505;0.271146;501;0;428;3231;3659
259;16.09.2011;3.0;0;9;0;5;1;2;18.7667;0.461475;88.56255;0.164183;467;0;742;4018;4760
260;17.09.2011;3.0;0;9;0;6;0;2;19.6667;0.478512;107.74995;0.189675;939;1;1434;3077;4511
261;18.09.2011;3.0;0;9;0;0;0;1;20.3;0.490537;104.25;0.178483;750;1;1353;2921;4274
262;19.09.2011;3.0;0;9;0;1;1;2;21.9667;0.529675;103.5;0.151742;912;0;691;3848;4539
263;20.09.2011;3.0;0;9;0;2;1;2;22.4667;0.532217;132.1875;0.134954;736;0;438;3203;3641
264;21.09.2011;3.0;0;9;0;3;1;2;23.8;0.5505329999999999;135.0;0.0964042;1000;0;539;3813;4352
265;22.09.2011;3.0;0;9;0;4;1;2;25.1333;0.554963;135.31245;0.128125;919;0;555;4240;4795
266;23.09.2011;4.0;0;9;0;5;1;2;24.3667;0.522125;145.875;0.0783667;612;0;258;2137;2395
267;24.09.2011;4.0;0;9;0;6;0;2;24.2667;0.564412;129.375;0.0783833;968;0;1776;3647;5423
268;25.09.2011;4.0;0;9;0;0;0;2;25.3667;0.572637;126.75;0.0503792;1030;0;1544;3466;5010
269;26.09.2011;;0;9;0;1;1;2;25.9667;0.589042;127.24995;0.1107;495;1;684;3946;4630
270;27.09.2011;4.0;0;9;0;2;1;2;25.4667;0.574525;132.81255;0.118171;903;1;477;3643;4120
272;29.09.2011;4.0;0;9;0;4;1;1;24.6667;0.574512;104.87505;0.1728829999999999;920;0;653;4186;4839
274;01.10.2011;;0;10;0;6;0;2;16.4;0.412863;113.0625;0.292296;628;0;480;1949;2429
275;02.10.2011;4.0;0;10;0;0;0;2;14.2667;0.345317;118.75005;0.222013;485;0;616;2302;2918
277;04.10.2011;4.0;0;10;0;2;1;1;19.3667;0.472858;106.5;0.205854;819;0;486;3970;4456
278;05.10.2011;4.0;0;10;0;3;1;1;21.5333;0.527138;97.18755;0.17725;935;0;559;4267;4826
279;06.10.2011;4.0;0;10;0;4;1;1;19.7667;0.480425;93.12495;0.134954;1017;0;639;4126;4765
280;07.10.2011;;0;10;0;5;1;1;20.4333;0.504404;102.62505;0.0223917;991;0;949;4036;4985
281;08.10.2011;4.0;0;10;0;6;0;1;20.8667;0.513242;;0.0454042;746;1;2235;3174;5409
282;09.10.2011;4.0;0;10;0;0;0;1;21.6333;0.523983;109.125;0.06345;581;0;2397;3114;5511
284;11.10.2011;4.0;0;10;0;2;1;2;22.6667;0.546096;121.3125;0.143042;800;0;667;3896;4563
286;13.10.2011;4.0;0;10;0;4;1;2;23.5667;0.551804;134.50005;0.141787;929;0;290;2623;2913
288;15.10.2011;4.0;0;10;0;6;0;1;20.2667;0.498725;72.49995;0.258083;1021;1;1899;3318;5217
289;16.10.2011;4.0;0;10;0;0;0;1;20.4667;0.503154;73.00005;0.281717;576;1;1748;3293;5041
292;19.10.2011;4.0;0;10;0;3;1;3;21.6696;0.513848;134.28255;0.243339;502;0;254;2170;2424
293;20.10.2011;4.0;0;10;0;4;1;1;19.0333;0.466525;95.4375;0.422275;751;1;471;3724;4195
294;21.10.2011;4.0;0;10;0;5;1;1;17.1;0.423596;86.12505;0.221396;918;0;676;3628;4304
295;22.10.2011;4.0;0;10;0;6;0;1;16.9;0.425492;94.37505;0.0926666999999999;695;1;1499;2809;4308
296;23.10.2011;4.0;0;10;0;0;0;1;16.8667;0.422333;111.1875;0.0995125;607;0;1619;2762;4381
297;24.10.2011;4.0;0;10;0;1;1;1;18.5333;0.457067;115.81245;0.118792;645;0;699;3488;4187
